tas;"	Year"; Month
23,9214;1901;1
24,3627;1901;2
25,2239;1901;3
25,6714;1901;4
25,1929;1901;5
24,4213;1901;6
24,5338;1901;7
24,3686;1901;8
24,1051;1901;9
23,9315;1901;10
23,653;1901;11
23,5027;1901;12
23,8463;1902;1
24,3323;1902;2
25,2916;1902;3
25,6756;1902;4
25,1998;1902;5
24,4213;1902;6
24,5503;1902;7
24,2871;1902;8
24,2068;1902;9
23,9803;1902;10
23,7454;1902;11
23,5137;1902;12
23,9464;1903;1
24,4708;1903;2
25,2543;1903;3
25,6425;1903;4
25,1415;1903;5
24,4942;1903;6
24,5732;1903;7
24,3754;1903;8
24,1784;1903;9
23,9289;1903;10
23,6234;1903;11
23,4116;1903;12
23,9299;1904;1
24,3627;1904;2
25,222;1904;3
25,6824;1904;4
25,1929;1904;5
24,4213;1904;6
24,5338;1904;7
24,366;1904;8
24,1051;1904;9
23,9289;1904;10
23,6692;1904;11
23,5137;1904;12
23,9299;1905;1
24,3646;1905;2
25,2239;1905;3
25,6824;1905;4
25,2169;1905;5
24,4323;1905;6
24,5338;1905;7
24,3686;1905;8
24,1069;1905;9
23,9399;1905;10
23,6796;1905;11
23,5137;1905;12
23,8282;1906;1
24,261;1906;2
25,1696;1906;3
25,6095;1906;4
25,1929;1906;5
24,4047;1906;6
24,5407;1906;7
24,3686;1906;8
24,145;1906;9
23,929;1906;10
23,6846;1906;11
23,4743;1906;12
23,9604;1907;1
24,3462;1907;2
25,2239;1907;3
25,6824;1907;4
25,1929;1907;5
24,4212;1907;6
24,4795;1907;7
24,3009;1907;8
24,0746;1907;9
23,9289;1907;10
23,7081;1907;11
23,4833;1907;12
23,8566;1908;1
24,2898;1908;2
25,2239;1908;3
25,7501;1908;4
25,2443;1908;5
24,4213;1908;6
24,5338;1908;7
24,3617;1908;8
24,105;1908;9
23,8746;1908;10
23,6048;1908;11
23,5137;1908;12
23,8906;1909;1
24,3559;1909;2
25,2753;1909;3
25,6893;1909;4
25,2663;1909;5
24,4144;1909;6
24,5643;1909;7
24,3686;1909;8
24,0982;1909;9
23,9221;1909;10
23,6048;1909;11
23,5069;1909;12
23,8057;1910;1
24,2791;1910;2
25,0563;1910;3
25,548;1910;4
25,1387;1910;5
24,3699;1910;6
24,5034;1910;7
24,3685;1910;8
24,0982;1910;9
23,9124;1910;10
23,576;1910;11
23,363;1910;12
23,9134;1911;1
24,3627;1911;2
25,2239;1911;3
25,7129;1911;4
25,0422;1911;5
24,3195;1911;6
24,4096;1911;7
24,3617;1911;8
24,1051;1911;9
23,9803;1911;10
23,732;1911;11
23,5205;1911;12
23,9299;1912;1
24,2141;1912;2
25,2633;1912;3
25,7846;1912;4
25,1929;1912;5
24,3908;1912;6
24,527;1912;7
24,3685;1912;8
24,0982;1912;9
23,9357;1912;10
23,5962;1912;11
23,5302;1912;12
23,9842;1913;1
24,4649;1913;2
25,2239;1913;3
25,5148;1913;4
25,0491;1913;5
24,297;1913;6
24,4945;1913;7
24,3617;1913;8
24,0651;1913;9
23,8895;1913;10
23,6101;1913;11
23,4743;1913;12
23,8623;1914;1
24,3627;1914;2
25,0578;1914;3
25,6282;1914;4
25,0912;1914;5
24,3398;1914;6
24,5407;1914;7
24,3851;1914;8
24,0746;1914;9
23,9124;1914;10
23,6263;1914;11
23,5531;1914;12
23,8906;1915;1
24,2894;1915;2
25,0196;1915;3
25,5148;1915;4
25,4224;1915;5
24,5915;1915;6
24,5942;1915;7
24,535;1915;8
24,2084;1915;9
24,1051;1915;10
23,735;1915;11
23,5331;1915;12
24,1492;1916;1
24,2922;1916;2
25,0753;1916;3
25,562;1916;4
25,2815;1916;5
24,4702;1916;6
24,4807;1916;7
24,348;1916;8
24,1096;1916;9
23,9474;1916;10
23,616;1916;11
23,5024;1916;12
23,903;1917;1
24,2829;1917;2
25,2327;1917;3
25,682;1917;4
25,1929;1917;5
24,3958;1917;6
24,5338;1917;7
24,3686;1917;8
24,1051;1917;9
23,9289;1917;10
23,6518;1917;11
23,4817;1917;12
23,7616;1918;1
24,4928;1918;2
25,2601;1918;3
25,7391;1918;4
25,1152;1918;5
24,3994;1918;6
24,5503;1918;7
24,4252;1918;8
24,1637;1918;9
24,1001;1918;10
23,6977;1918;11
23,5784;1918;12
23,8463;1919;1
24,3628;1919;2
25,2239;1919;3
25,6091;1919;4
25,1387;1919;5
24,3483;1919;6
24,527;1919;7
24,3686;1919;8
24,1051;1919;9
23,9454;1919;10
23,7592;1919;11
23,5137;1919;12
23,9464;1920;1
24,3113;1920;2
25,2239;1920;3
25,7841;1920;4
25,193;1920;5
24,3479;1920;6
24,5173;1920;7
24,3381;1920;8
24,1051;1920;9
23,9221;1920;10
23,6378;1920;11
23,4972;1920;12
23,9041;1921;1
24,4304;1921;2
25,3016;1921;3
25,7233;1921;4
24,9693;1921;5
24,4088;1921;6
24,4199;1921;7
24,3474;1921;8
24,1773;1921;9
23,9137;1921;10
23,7828;1921;11
23,6218;1921;12
23,9993;1922;1
24,4375;1922;2
25,3583;1922;3
25,8259;1922;4
25,1778;1922;5
24,4021;1922;6
24,3946;1922;7
24,3864;1922;8
24,0974;1922;9
23,9613;1922;10
23,7255;1922;11
23,6291;1922;12
23,8494;1923;1
24,3765;1923;2
25,3523;1923;3
25,8321;1923;4
25,1916;1923;5
24,442;1923;6
24,4055;1923;7
24,2955;1923;8
24,2159;1923;9
23,8558;1923;10
23,5532;1923;11
23,6233;1923;12
24,1165;1924;1
24,3084;1924;2
25,345;1924;3
25,949;1924;4
25,341;1924;5
24,2889;1924;6
24,423;1924;7
24,4835;1924;8
24,0333;1924;9
23,8932;1924;10
23,5777;1924;11
23,6031;1924;12
24,088;1925;1
24,3669;1925;2
25,0661;1925;3
25,6018;1925;4
25,1926;1925;5
24,4735;1925;6
24,408;1925;7
24,4399;1925;8
24,1332;1925;9
24,0879;1925;10
23,8132;1925;11
23,702;1925;12
24,0297;1926;1
24,4516;1926;2
25,2917;1926;3
26,0693;1926;4
25,3344;1926;5
24,4854;1926;6
24,4378;1926;7
24,2926;1926;8
24,0694;1926;9
23,9291;1926;10
23,6464;1926;11
23,555;1926;12
23,702;1927;1
24,3836;1927;2
25,0491;1927;3
25,485;1927;4
25,131;1927;5
24,3756;1927;6
24,3768;1927;7
24,3688;1927;8
24,0046;1927;9
23,8414;1927;10
23,5915;1927;11
23,3122;1927;12
23,6278;1928;1
24,3635;1928;2
25,1247;1928;3
25,6713;1928;4
25,042;1928;5
24,3289;1928;6
24,4729;1928;7
24,2539;1928;8
24,0808;1928;9
23,8738;1928;10
23,516;1928;11
23,3151;1928;12
23,969;1929;1
24,5288;1929;2
25,3303;1929;3
25,6624;1929;4
25,1679;1929;5
24,2737;1929;6
24,2951;1929;7
24,1835;1929;8
24,0264;1929;9
23,7956;1929;10
23,7395;1929;11
23,4136;1929;12
23,9851;1930;1
24,361;1930;2
25,2122;1930;3
25,6029;1930;4
25,1717;1930;5
24,2333;1930;6
24,4116;1930;7
24,3437;1930;8
24,1051;1930;9
23,8291;1930;10
23,5195;1930;11
23,3462;1930;12
24,3198;1931;1
24,8018;1931;2
25,5691;1931;3
26,0636;1931;4
25,1785;1931;5
24,5213;1931;6
24,2418;1931;7
24,5847;1931;8
24,4307;1931;9
24,4228;1931;10
23,3847;1931;11
23,9585;1931;12
24,4683;1932;1
24,7451;1932;2
25,1231;1932;3
25,9937;1932;4
25,3204;1932;5
24,1912;1932;6
24,2338;1932;7
24,3686;1932;8
24,3611;1932;9
23,8551;1932;10
23,0537;1932;11
23,7511;1932;12
24,5266;1933;1
24,8243;1933;2
25,0261;1933;3
26,1059;1933;4
25,2098;1933;5
24,2247;1933;6
24,5857;1933;7
24,0034;1933;8
24,0005;1933;9
23,6072;1933;10
22,6569;1933;11
22,8611;1933;12
23,8987;1934;1
23,8999;1934;2
24,1922;1934;3
25,8766;1934;4
24,6753;1934;5
24,1453;1934;6
24,2299;1934;7
24,7775;1934;8
24,4667;1934;9
23,7796;1934;10
23,6435;1934;11
23,7825;1934;12
23,4211;1935;1
23,4282;1935;2
25,1975;1935;3
25,8338;1935;4
24,9308;1935;5
24,3095;1935;6
24,6129;1935;7
24,3016;1935;8
24,1313;1935;9
23,9436;1935;10
23,4799;1935;11
23,6167;1935;12
24,7413;1936;1
25,2755;1936;2
26,143;1936;3
26,16;1936;4
25,3478;1936;5
24,427;1936;6
24,3968;1936;7
24,6003;1936;8
24,4201;1936;9
24,2322;1936;10
24,2206;1936;11
23,5221;1936;12
24,8015;1937;1
24,8915;1937;2
25,7716;1937;3
26,1771;1937;4
25,2929;1937;5
24,5213;1937;6
24,723;1937;7
24,3909;1937;8
23,8659;1937;9
23,7392;1937;10
23,1193;1937;11
23,6839;1937;12
23,9039;1938;1
24,1303;1938;2
24,9878;1938;3
24,9236;1938;4
24,9415;1938;5
24,1638;1938;6
24,2242;1938;7
24,1746;1938;8
23,9298;1938;9
23,6796;1938;10
23,4525;1938;11
22,9008;1938;12
24,1436;1939;1
24,1983;1939;2
24,6365;1939;3
25,3172;1939;4
25,1013;1939;5
24,1821;1939;6
24,4338;1939;7
24,6281;1939;8
23,7888;1939;9
24,0165;1939;10
23,2271;1939;11
23,9368;1939;12
23,9528;1940;1
24,2127;1940;2
25,2236;1940;3
25,4452;1940;4
25,0891;1940;5
24,2958;1940;6
24,8146;1940;7
24,9502;1940;8
24,2416;1940;9
23,6815;1940;10
23,5504;1940;11
23,4137;1940;12
24,0981;1941;1
24,8022;1941;2
24,9812;1941;3
25,7808;1941;4
25,3077;1941;5
24,7747;1941;6
24,5374;1941;7
24,6342;1941;8
24,0116;1941;9
23,9655;1941;10
23,5463;1941;11
23,7807;1941;12
23,2412;1942;1
24,7251;1942;2
25,4021;1942;3
25,7623;1942;4
25,379;1942;5
24,3836;1942;6
24,5667;1942;7
23,7509;1942;8
24,0582;1942;9
23,9483;1942;10
23,7241;1942;11
23,4802;1942;12
23,8447;1943;1
23,7635;1943;2
24,7638;1943;3
24,9215;1943;4
24,9781;1943;5
24,4528;1943;6
24,4161;1943;7
24,0906;1943;8
24,235;1943;9
23,5326;1943;10
23,5362;1943;11
23,1871;1943;12
23,7408;1944;1
24,1859;1944;2
24,9944;1944;3
25,4814;1944;4
24,8945;1944;5
24,0766;1944;6
24,3354;1944;7
24,1598;1944;8
23,7127;1944;9
23,433;1944;10
23,193;1944;11
22,967;1944;12
23,5288;1945;1
24,1643;1945;2
24,8089;1945;3
25,2663;1945;4
24,7316;1945;5
24,4574;1945;6
24,3273;1945;7
23,9369;1945;8
23,6534;1945;9
23,3934;1945;10
23,177;1945;11
23,1528;1945;12
23,7315;1946;1
23,947;1946;2
24,8086;1946;3
24,7094;1946;4
25,0873;1946;5
24,3353;1946;6
24,2187;1946;7
24,0926;1946;8
23,7889;1946;9
23,7958;1946;10
23,4185;1946;11
23,3261;1946;12
24,1943;1947;1
24,0366;1947;2
25,26;1947;3
25,5493;1947;4
24,897;1947;5
24,2336;1947;6
24,2354;1947;7
23,9546;1947;8
23,6775;1947;9
23,7285;1947;10
23,8652;1947;11
23,1531;1947;12
23,6153;1948;1
24,3229;1948;2
25,0215;1948;3
24,6165;1948;4
24,609;1948;5
23,8135;1948;6
23,9808;1948;7
24,6253;1948;8
24,2148;1948;9
23,2304;1948;10
23,985;1948;11
23,4681;1948;12
23,3129;1949;1
24,2816;1949;2
24,6627;1949;3
25,3775;1949;4
25,0726;1949;5
23,8223;1949;6
24,0389;1949;7
23,9828;1949;8
23,5096;1949;9
23,3525;1949;10
22,1768;1949;11
22,9581;1949;12
23,5525;1950;1
23,2287;1950;2
24,4237;1950;3
24,6223;1950;4
24,3635;1950;5
23,5855;1950;6
23,6736;1950;7
24,0861;1950;8
24,8245;1950;9
23,1909;1950;10
22,697;1950;11
22,7038;1950;12
23,8813;1951;1
23,3065;1951;2
25,0275;1951;3
26,1806;1951;4
25,8448;1951;5
25,3362;1951;6
25,6047;1951;7
25,4508;1951;8
25,2074;1951;9
24,0586;1951;10
23,8207;1951;11
23,7556;1951;12
24,2431;1952;1
24,075;1952;2
24,5857;1952;3
25,5172;1952;4
24,6373;1952;5
24,327;1952;6
23,9694;1952;7
25,5147;1952;8
25,4959;1952;9
23,7455;1952;10
24,8772;1952;11
23,0568;1952;12
23,3173;1953;1
23,3409;1953;2
24,7699;1953;3
26,0968;1953;4
25,0852;1953;5
24,7806;1953;6
24,3874;1953;7
24,6643;1953;8
24,4134;1953;9
24,4904;1953;10
23,5138;1953;11
23,405;1953;12
23,9103;1954;1
23,7227;1954;2
24,927;1954;3
25,0968;1954;4
24,2358;1954;5
23,0494;1954;6
23,4045;1954;7
23,6508;1954;8
23,802;1954;9
22,5467;1954;10
25,0302;1954;11
22,7597;1954;12
23,4822;1955;1
24,1018;1955;2
24,4149;1955;3
24,8933;1955;4
24,8234;1955;5
24,1668;1955;6
23,6112;1955;7
24,0063;1955;8
23,8889;1955;9
22,9906;1955;10
23,3743;1955;11
22,7451;1955;12
23,8896;1956;1
25,5214;1956;2
27,1452;1956;3
27,3011;1956;4
25,6805;1956;5
24,903;1956;6
24,7007;1956;7
25,1854;1956;8
24,5988;1956;9
24,8251;1956;10
24,0697;1956;11
23,8943;1956;12
24,7847;1957;1
25,724;1957;2
25,8754;1957;3
26,6706;1957;4
26,3908;1957;5
26,0909;1957;6
25,2451;1957;7
25,4381;1957;8
25,4213;1957;9
24,9541;1957;10
24,532;1957;11
23,7135;1957;12
24,4812;1958;1
24,9902;1958;2
26,588;1958;3
26,5052;1958;4
26,3746;1958;5
25,5096;1958;6
25,5067;1958;7
25,1462;1958;8
25,3277;1958;9
24,986;1958;10
24,2661;1958;11
23,8001;1958;12
23,4616;1959;1
25,0246;1959;2
25,9395;1959;3
25,4568;1959;4
25,8418;1959;5
24,7452;1959;6
25,8211;1959;7
25,1007;1959;8
25,5104;1959;9
24,6474;1959;10
24,0216;1959;11
23,7786;1959;12
24,5389;1960;1
24,9279;1960;2
25,4341;1960;3
26,6637;1960;4
25,8052;1960;5
25,2433;1960;6
25,3288;1960;7
25,2576;1960;8
25,2186;1960;9
24,4344;1960;10
24,1969;1960;11
23,5472;1960;12
24,6648;1961;1
25,0033;1961;2
25,1946;1961;3
26,1211;1961;4
25,0592;1961;5
24,2225;1961;6
23,8118;1961;7
24,4866;1961;8
23,0819;1961;9
23,527;1961;10
23,5298;1961;11
23,4632;1961;12
24,1128;1962;1
24,4178;1962;2
24,9773;1962;3
25,5747;1962;4
24,3062;1962;5
23,5652;1962;6
23,2698;1962;7
23,948;1962;8
23,9538;1962;9
22,9231;1962;10
23,8279;1962;11
23,5497;1962;12
24,0509;1963;1
24,5725;1963;2
25,5909;1963;3
25,4633;1963;4
25,1669;1963;5
24,8638;1963;6
25,0348;1963;7
25,1225;1963;8
24,3044;1963;9
24,4373;1963;10
23,9807;1963;11
24,2384;1963;12
24,7683;1964;1
25,2558;1964;2
25,652;1964;3
26,0066;1964;4
25,5247;1964;5
23,7372;1964;6
23,6991;1964;7
23,8106;1964;8
23,6869;1964;9
23,3443;1964;10
23,9441;1964;11
23,6561;1964;12
24,219;1965;1
24,9749;1965;2
24,8034;1965;3
25,9745;1965;4
25,6014;1965;5
25,4251;1965;6
25,6762;1965;7
24,2147;1965;8
24,4157;1965;9
24,7119;1965;10
24,8458;1965;11
23,9288;1965;12
25,4442;1966;1
25,6323;1966;2
26,1187;1966;3
26,2703;1966;4
25,0631;1966;5
24,7185;1966;6
24,9682;1966;7
25,2252;1966;8
24,7135;1966;9
23,5664;1966;10
23,7692;1966;11
23,4132;1966;12
24,4925;1967;1
24,5898;1967;2
24,9583;1967;3
25,6759;1967;4
26,1881;1967;5
24,311;1967;6
24,6001;1967;7
24,5566;1967;8
23,8525;1967;9
24,4891;1967;10
23,6885;1967;11
23,7732;1967;12
24,472;1968;1
23,8555;1968;2
25,0248;1968;3
25,2472;1968;4
24,384;1968;5
24,0133;1968;6
24,8866;1968;7
24,8786;1968;8
24,2444;1968;9
24,1142;1968;10
23,4418;1968;11
23,5111;1968;12
23,0584;1969;1
24,0601;1969;2
26,2777;1969;3
25,9068;1969;4
25,9228;1969;5
24,549;1969;6
25,2289;1969;7
23,9411;1969;8
24,5532;1969;9
23,4273;1969;10
23,3923;1969;11
23,7865;1969;12
23,9651;1970;1
24,2265;1970;2
25,4198;1970;3
25,7113;1970;4
24,6728;1970;5
24,4962;1970;6
23,7306;1970;7
23,5441;1970;8
23,6272;1970;9
23,4008;1970;10
22,7583;1970;11
22,9239;1970;12
23,5043;1971;1
24,0599;1971;2
24,8621;1971;3
25,0301;1971;4
24,7378;1971;5
24,1864;1971;6
24,0766;1971;7
23,5798;1971;8
23,0874;1971;9
23,6466;1971;10
23,1681;1971;11
23,1974;1971;12
23,4701;1972;1
24,2083;1972;2
24,9358;1972;3
25,8185;1972;4
25,117;1972;5
24,8729;1972;6
25,322;1972;7
24,8044;1972;8
24,4989;1972;9
24,6446;1972;10
24,4982;1972;11
24,545;1972;12
24,7993;1973;1
25,1124;1973;2
26,1772;1973;3
26,2094;1973;4
25,3941;1973;5
24,3474;1973;6
24,4226;1973;7
23,8344;1973;8
23,5357;1973;9
23,3432;1973;10
23,6661;1973;11
22,6649;1973;12
23,4789;1974;1
23,3238;1974;2
24,2994;1974;3
25,4608;1974;4
24,3843;1974;5
23,6851;1974;6
24,1445;1974;7
24,1667;1974;8
23,086;1974;9
23,2488;1974;10
23,533;1974;11
23,2244;1974;12
23,694;1975;1
21,4668;1975;2
22,9561;1975;3
25,0742;1975;4
23,7497;1975;5
23,0119;1975;6
22,1927;1975;7
22,3166;1975;8
22,5878;1975;9
23,2164;1975;10
22,6229;1975;11
22,223;1975;12
23,1763;1976;1
23,5202;1976;2
24,5515;1976;3
23,494;1976;4
23,7862;1976;5
23,2217;1976;6
23,7011;1976;7
23,2542;1976;8
23,5365;1976;9
23,2381;1976;10
24,1513;1976;11
23,9042;1976;12
21,5764;1977;1
22,1242;1977;2
23,2954;1977;3
23,9435;1977;4
24,0737;1977;5
23,5148;1977;6
23,4671;1977;7
23,274;1977;8
23,4688;1977;9
23,114;1977;10
22,5222;1977;11
24,1827;1977;12
23,3877;1978;1
24,4648;1978;2
25,5266;1978;3
25,6051;1978;4
25,3383;1978;5
24,5329;1978;6
24,3029;1978;7
23,8788;1978;8
23,9804;1978;9
23,8879;1978;10
23,9543;1978;11
23,286;1978;12
23,698;1979;1
24,7027;1979;2
25,6845;1979;3
25,4289;1979;4
25,2534;1979;5
24,4788;1979;6
24,8341;1979;7
24,2859;1979;8
23,9284;1979;9
24,3237;1979;10
23,5238;1979;11
23,5164;1979;12
23,506;1980;1
24,0298;1980;2
25,7345;1980;3
25,7462;1980;4
25,6423;1980;5
24,8982;1980;6
24,8018;1980;7
24,3412;1980;8
23,7621;1980;9
24,6071;1980;10
23,1744;1980;11
22,9003;1980;12
23,2371;1981;1
24,2671;1981;2
25,6422;1981;3
25,7831;1981;4
25,1384;1981;5
24,2434;1981;6
24,7192;1981;7
24,1959;1981;8
24,4874;1981;9
24,1535;1981;10
23,2995;1981;11
23,4112;1981;12
23,8106;1982;1
24,5446;1982;2
25,5009;1982;3
25,4864;1982;4
24,7905;1982;5
24,818;1982;6
25,3216;1982;7
26,0835;1982;8
24,8885;1982;9
24,3744;1982;10
24,026;1982;11
24,1466;1982;12
24,7797;1983;1
25,5475;1983;2
26,3787;1983;3
26,6354;1983;4
26,726;1983;5
25,4738;1983;6
25,6789;1983;7
25,3745;1983;8
24,6239;1983;9
24,1409;1983;10
23,6228;1983;11
23,1946;1983;12
23,2633;1984;1
24,0477;1984;2
25,6005;1984;3
25,5322;1984;4
25,0612;1984;5
24,7753;1984;6
24,0636;1984;7
24,2625;1984;8
23,8343;1984;9
24,1245;1984;10
22,9283;1984;11
23,1502;1984;12
23,4718;1985;1
24,1853;1985;2
25,4955;1985;3
25,6183;1985;4
25,2588;1985;5
24,8069;1985;6
24,3257;1985;7
24,153;1985;8
24,1541;1985;9
23,811;1985;10
23,405;1985;11
23,2524;1985;12
23,5272;1986;1
24,4265;1986;2
24,992;1986;3
25,7353;1986;4
25,3697;1986;5
24,7652;1986;6
25,6356;1986;7
25,2559;1986;8
24,7906;1986;9
24,0809;1986;10
24,0964;1986;11
23,8778;1986;12
24,2186;1987;1
24,7867;1987;2
26,0703;1987;3
26,2698;1987;4
25,7713;1987;5
25,4132;1987;6
25,1414;1987;7
25,3387;1987;8
25,2541;1987;9
24,9305;1987;10
24,8376;1987;11
24,2206;1987;12
24,5394;1988;1
24,8348;1988;2
25,5262;1988;3
26,0807;1988;4
25,5881;1988;5
24,3818;1988;6
24,8127;1988;7
24,0752;1988;8
24,4051;1988;9
24,0983;1988;10
23,5622;1988;11
23,1463;1988;12
24,0998;1989;1
23,5223;1989;2
24,3762;1989;3
25,5836;1989;4
25,1784;1989;5
24,4593;1989;6
24,8046;1989;7
24,3601;1989;8
24,0601;1989;9
24,3097;1989;10
23,7003;1989;11
23,1461;1989;12
24,564;1990;1
24,2295;1990;2
25,3523;1990;3
26,0202;1990;4
25,9169;1990;5
25,3474;1990;6
24,7665;1990;7
25,0485;1990;8
24,919;1990;9
24,1939;1990;10
23,9188;1990;11
23,8709;1990;12
24,6591;1991;1
24,6642;1991;2
26,6172;1991;3
26,04;1991;4
26,6474;1991;5
25,1902;1991;6
26,5893;1991;7
26,1151;1991;8
26,1867;1991;9
25,5361;1991;10
24,048;1991;11
24,0688;1991;12
24,4821;1992;1
24,8126;1992;2
26,58;1992;3
26,522;1992;4
27,1778;1992;5
26,3289;1992;6
25,9083;1992;7
24,9402;1992;8
25,2834;1992;9
25,5096;1992;10
23,4692;1992;11
23,918;1992;12
23,9465;1993;1
24,34;1993;2
25,9674;1993;3
26,3448;1993;4
26,2658;1993;5
26,1621;1993;6
26,4281;1993;7
26,1173;1993;8
25,269;1993;9
25,7284;1993;10
24,0994;1993;11
24,2365;1993;12
24,1659;1994;1
24,3857;1994;2
26,3526;1994;3
26,0412;1994;4
26,5467;1994;5
26,1209;1994;6
26,3961;1994;7
25,955;1994;8
26,2624;1994;9
25,5562;1994;10
23,675;1994;11
24,4647;1994;12
24,8252;1995;1
24,921;1995;2
26,3249;1995;3
25,9792;1995;4
26,1085;1995;5
25,6342;1995;6
25,9636;1995;7
25,196;1995;8
25,7156;1995;9
25,0076;1995;10
23,7734;1995;11
23,6613;1995;12
23,9062;1996;1
24,4573;1996;2
25,9004;1996;3
25,3854;1996;4
24,9836;1996;5
24,5792;1996;6
25,1204;1996;7
24,8914;1996;8
24,5036;1996;9
24,0665;1996;10
23,0436;1996;11
24,0409;1996;12
23,4751;1997;1
24,3872;1997;2
25,6472;1997;3
25,932;1997;4
26,4068;1997;5
25,1266;1997;6
26,4997;1997;7
26,5283;1997;8
25,2997;1997;9
25,4168;1997;10
24;1997;11
24,329;1997;12
25,0212;1998;1
25,437;1998;2
26,8764;1998;3
27,1163;1998;4
27,5816;1998;5
26,0036;1998;6
25,0268;1998;7
25,1643;1998;8
24,7076;1998;9
24,4891;1998;10
23,7739;1998;11
22,971;1998;12
23,7366;1999;1
24,0469;1999;2
25,2439;1999;3
25,4312;1999;4
25,016;1999;5
24,4972;1999;6
24,7804;1999;7
24,3507;1999;8
23,8075;1999;9
23,805;1999;10
23,2714;1999;11
23,1181;1999;12
23,4143;2000;1
23,7803;2000;2
25,2472;2000;3
25,6389;2000;4
25,322;2000;5
24,7457;2000;6
25,0344;2000;7
25,1642;2000;8
24,348;2000;9
24,8376;2000;10
24,1759;2000;11
23,802;2000;12
24,188;2001;1
24,9473;2001;2
25,4821;2001;3
26,429;2001;4
26,3054;2001;5
25,7287;2001;6
25,5358;2001;7
25,9289;2001;8
24,9647;2001;9
25,3217;2001;10
24,2903;2001;11
24,5281;2001;12
25,2387;2002;1
25,5877;2002;2
26,5138;2002;3
26,7832;2002;4
25,9879;2002;5
25,7629;2002;6
26,0535;2002;7
24,3479;2002;8
25,2288;2002;9
25,0734;2002;10
24,6705;2002;11
24,7384;2002;12
25,4241;2003;1
25,9631;2003;2
26,3218;2003;3
26,9255;2003;4
26,0593;2003;5
25,0705;2003;6
25,693;2003;7
25,3692;2003;8
25,2162;2003;9
24,9437;2003;10
24,3652;2003;11
23,9732;2003;12
24,8787;2004;1
25,5721;2004;2
26,3983;2004;3
26,9691;2004;4
26,0611;2004;5
26,0763;2004;6
25,2658;2004;7
25,3157;2004;8
24,543;2004;9
24,6433;2004;10
23,8649;2004;11
24,1446;2004;12
24,4778;2005;1
24,676;2005;2
26,2245;2005;3
26,6397;2005;4
25,8638;2005;5
25,0036;2005;6
25,3973;2005;7
25,0638;2005;8
25,0588;2005;9
23,774;2005;10
23,4707;2005;11
23,6517;2005;12
24,6733;2006;1
24,7334;2006;2
25,6544;2006;3
26,2141;2006;4
25,8329;2006;5
25,4123;2006;6
25,5103;2006;7
25,6396;2006;8
25,2224;2006;9
25,2532;2006;10
23,7481;2006;11
24,3562;2006;12
25,1338;2007;1
25,2125;2007;2
26,1614;2007;3
26,2439;2007;4
25,3813;2007;5
25,1799;2007;6
25,2471;2007;7
24,5482;2007;8
24,6846;2007;9
23,8863;2007;10
23,7542;2007;11
23,7309;2007;12
24,6824;2008;1
24,7234;2008;2
25,5648;2008;3
25,9182;2008;4
25,341;2008;5
24,9997;2008;6
24,6726;2008;7
24,4949;2008;8
24,7512;2008;9
24,3163;2008;10
23,5758;2008;11
23,8779;2008;12
24,695;2009;1
24,7759;2009;2
25,3903;2009;3
26,6897;2009;4
25,7236;2009;5
25,2684;2009;6
25,9842;2009;7
25,4983;2009;8
25,9531;2009;9
25,0317;2009;10
24,3339;2009;11
24,7917;2009;12
25,2784;2010;1
26,0736;2010;2
26,7709;2010;3
26,8939;2010;4
26,3427;2010;5
25,1445;2010;6
24,7541;2010;7
24,6571;2010;8
24,3596;2010;9
24,7424;2010;10
23,4164;2010;11
22,8569;2010;12
24,7978;2011;1
25,2543;2011;2
25,4913;2011;3
26,1639;2011;4
26,1229;2011;5
25,3594;2011;6
25,091;2011;7
24,995;2011;8
25,0584;2011;9
23,5554;2011;10
23,4599;2011;11
23,8426;2011;12
24,378;2012;1
24,0607;2012;2
24,9974;2012;3
25,5391;2012;4
25,5878;2012;5
25,1567;2012;6
25,2228;2012;7
24,7737;2012;8
24,5324;2012;9
23,8083;2012;10
22,8913;2012;11
24,1055;2012;12
24,7066;2013;1
24,5188;2013;2
24,9107;2013;3
25,7687;2013;4
25,147;2013;5
24,5506;2013;6
24,8446;2013;7
24,4984;2013;8
24,2705;2013;9
24,2799;2013;10
24,183;2013;11
24,319;2013;12
26,5057;2014;1
24,8617;2014;2
25,5403;2014;3
25,9777;2014;4
25,8763;2014;5
25,0753;2014;6
25,5221;2014;7
25,2618;2014;8
24,3711;2014;9
24,6104;2014;10
24,03;2014;11
24,0025;2014;12
24,5549;2015;1
24,6674;2015;2
24,7721;2015;3
26,0779;2015;4
25,8694;2015;5
25,4321;2015;6
24,8645;2015;7
25,583;2015;8
24,7568;2015;9
24,9505;2015;10
25,1152;2015;11
24,6083;2015;12
